TRAP,Type,LU_Around,Height_Mx,Dist_BG,Dist_Town,Robbed,Dist_Town_KM,Dist_GB_KM,Condition
9402,Burial Mound,Agriculture,1.5,57488.84411810026,2085.502955410061,No,2.0855029554100613,57.48884411810026,5
9401,Burial Mound,Agriculture,1,58393.1749786764,1644.1042871973589,No,1.6441042871973588,58.3931749786764,5
9110,Burial Mound,Agriculture,6,58199.07889699413,691.8021392240706,Yes,0.6918021392240706,58.19907889699413,4
9404,Burial Mound,Pasture,1.5,56237.83296458901,2525.9122755448734,Yes,2.5259122755448735,56.23783296458901,4
9407,Burial Mound,Agriculture,2,54569.310024792314,928.2950545456655,No,0.9282950545456655,54.569310024792316,5
9406,Burial Mound,Agriculture,1.5,55190.088624267264,1357.8005331068528,No,1.3578005331068528,55.19008862426726,5
9078,Extinct Burial Mound,Agriculture,2,54437.39939463213,1082.0302363048586,No,1.0820302363048586,54.43739939463213,5
9082,Burial Mound,Pasture,1.5,52222.45500619236,66.16662859478136,No,0.06616662859478135,52.222455006192355,3
9339,Burial Mound,Pasture,1.5,51515.878292435424,746.7062532786018,Yes,0.7467062532786019,51.515878292435424,2
9072,Burial Mound,Agriculture,2,51856.27843446057,983.1808351424334,No,0.9831808351424334,51.85627843446057,5
9341,Burial Mound,Pasture,4,50200.28593543758,831.7949382400603,Yes,0.8317949382400603,50.200285935437584,4
9340,Burial Mound,Forest,1,50261.3426492596,677.9177424886536,No,0.6779177424886537,50.261342649259596,5
9073,Burial Mound,Pasture,4,51008.463689490505,135.37613217094767,Yes,0.13537613217094768,51.008463689490505,4
9076,Burial Mound,Pasture,3,51128.685338974065,274.1702971259823,Yes,0.2741702971259823,51.128685338974066,5
9044,Burial Mound,Scrub,6,47141.201753496534,1191.375727294205,Yes,1.191375727294205,47.14120175349653,5
9043,Burial Mound,Scrub,1.5,46977.7696354702,1115.032529853897,Yes,1.115032529853897,46.977769635470196,5
9023,Burial Mound,Agriculture,2,45636.63950229451,1064.7646229784502,No,1.0647646229784502,45.63663950229451,5
9037,Burial Mound,Pasture,2.5,45898.87552462918,491.3941521112254,No,0.49139415211122545,45.898875524629176,1
9349,Burial Mound,Pasture,2.5,44172.13699325642,2687.7275151173003,Yes,2.6877275151173,44.172136993256416,2
9346,Burial Mound,Agriculture,2,44593.30718201502,2580.467005404843,No,2.580467005404843,44.593307182015025,3
